country,continent,population,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,recoveredPerOneMillion,death_rate,recovery_rate
Afghanistan,Asia,40754388,234174,0,7996,0,211080,15098,0,5746,196,5179.32,3.414554989025255,90.13810243664967
Albania,Europe,2866374,334863,0,3605,0,330233,1025,0,116825,1258,115209.32,1.0765596676849936,98.61734500377767
Algeria,Africa,45350148,272010,0,6881,0,183061,82068,0,5998,152,4036.61,2.5296864085879194,67.2993639939708
Andorra,Europe,77463,48015,0,165,0,0,47850,0,619844,2130,0.0,0.3436426116838488,0.0
Angola,Africa,35027343,107327,0,1937,0,103419,1971,0,3064,55,2952.52,1.804764877430656,96.358791357254
Anguilla,North America,15230,3904,0,12,0,0,3892,0,256336,788,0.0,0.3073770491803279,0.0
Antigua and Barbuda,North America,99509,9106,0,146,0,8954,6,0,91509,1467,89981.81,1.6033384581594552,98.33077092027234
Argentina,South America,46010234,10128845,0,130841,0,9997258,746,0,220143,2844,217283.35,1.2917662379076786,98.70086865777886
Armenia,Asia,2971966,451831,0,8777,0,435162,7892,0,152031,2953,146422.27,1.9425404631377663,96.31078876836693
Aruba,North America,107609,44224,0,292,0,42438,1494,2,410969,2714,394372.22,0.66027496382055,95.96146888567294
Australia,Australia-Oceania,26068792,11853144,0,24414,0,11820014,8716,3,454687,937,453416.25,0.20597066904780706,99.72049609791293
Austria,Europe,9066710,6081287,0,22542,0,6054934,3811,0,670727,2486,667820.41,0.3706781146819744,99.56665422960633
Azerbaijan,Asia,10300205,835234,0,10400,0,824089,745,0,81089,1010,80007.05,1.2451600389830875,98.66564340053206
Bahamas,North America,400516,38084,0,844,0,36366,874,1,95087,2107,90797.87,2.2161537653607817,95.4889192311732
Bahrain,Asia,1783983,729549,0,1574,0,727915,60,0,408944,882,408027.99,0.2157497303128371,99.7760260105901
Bangladesh,Asia,167885689,2049377,0,29493,0,0,2019884,0,12207,176,0.0,1.4391202789921036,0.0
Barbados,North America,288023,110578,0,648,0,108647,1283,0,383921,2250,377216.4,0.5860116840601204,98.25372135506159
Belarus,Europe,9432800,994037,0,7118,0,985592,1327,0,105381,755,104485.62,0.7160699249625517,99.1504340381696
Belgium,Europe,11668278,4861695,0,34376,0,4826798,521,0,416659,2946,413668.41,0.7070784983426562,99.28220507456761
Belize,North America,412190,71409,0,688,0,0,70721,0,173243,1669,0.0,0.9634639891330226,0.0
Benin,Africa,12784726,28036,0,163,0,27847,26,0,2193,13,2178.15,0.5813953488372093,99.3258667427593
Bermuda,North America,61939,18860,0,165,0,18685,10,0,304493,2664,301667.77,0.8748674443266171,99.07211028632025
Bhutan,Asia,787941,62697,0,21,0,61564,1112,0,79571,27,78132.75,0.03349442557060146,98.19289599183374
